id,name,weapon,weapon_type,rarity,collection,price,wear,source,release_year,image,description
1,AK-47 | Redline,AK-47,Rifle,Classified,Phoenix Collection,49.5,Field-Tested,Case Drop,2014,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/default_generated/weapon_ak47_cu_ak47_cobra_light_large.7494bfdf4855fd4e6a2dbd983ed0a243c80ef830.png,Популярный скин для AK-47 с темной основой и красными линиями.
2,AWP | Asiimov,AWP,Sniper Rifle,Covert,Phoenix Collection,129.9,Battle-Scarred,Case Drop,2014,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/default_generated/weapon_awp_cu_awp_asimov_light_large.32d9045f8a2bcd13ca18390cc9fd82026e7195ab.png,Известный скин AWP в футуристичной бело-оранжевой стилистике.
3,M4A4 | Desolate Space,M4A4,Rifle,Classified,Gamma Collection,25.4,Minimal Wear,Case Drop,2016,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/default_generated/weapon_m4a1_cu_m4a4_desolate_space_light_large.1fcbd5e124ae7c54cf12e6f76c431e6671a73845.png,Скин с космической тематикой и яркой иллюстрацией.
4,USP-S | Cortex,USP-S,Pistol,Classified,Clutch Collection,11.2,Field-Tested,Case Drop,2018,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/default_generated/weapon_usp_silencer_cu_usp_cut_light_large.573fc8c594667e378f3ed9890ce48bbb586e8de0.png,Пистолет USP-S с контрастным розово-синим рисунком.
5,Glock-18 | Water Elemental,Glock-18,Pistol,Classified,Breakout Collection,14.8,Minimal Wear,Case Drop,2014,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/default_generated/weapon_glock_cu_glock-liquescent_light_large.151e954ed4aef28ccc55d0ca4b43a7d9644f36ac.png,Яркий пистолетный скин с изображением водного существа.
6,Desert Eagle | Printstream,Desert Eagle,Pistol,Covert,Fracture Collection,82.3,Field-Tested,Case Drop,2020,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/default_generated/weapon_deagle_cu_deag_printstream_light_large.b468e56607da39fb2c88e493456290fd5db174c8.png,Минималистичный белый дизайн с перламутровыми элементами.
7,AK-47 | Slate,AK-47,Rifle,Restricted,Snakebite Collection,8.7,Factory New,Case Drop,2021,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/default_generated/weapon_ak47_gs_ak47_professional_light_large.d09d623d0a725c63e8a3905f66bba41ba2ed59e8.png,Черный универсальный скин для AK-47 без лишних деталей.
8,AWP | Fever Dream,AWP,Sniper Rifle,Classified,Spectrum Collection,18.9,Field-Tested,Case Drop,2017,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/default_generated/weapon_awp_cu_awp_psychopath_light_large.11e54a670b779e1757cce18ea252d70eb35c6a75.png,Скин с хаотичными надписями и яркими акцентами.
9,M4A1-S | Decimator,M4A1-S,Rifle,Classified,Spectrum Collection,32.1,Minimal Wear,Case Drop,2017,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/default_generated/weapon_m4a1_silencer_gs_m4a1_decimator_light_large.5af82e99273fcc0a4ad35b2971b63787ee989d6a.png,Неоновый дизайн для M4A1-S с сине-розовой палитрой.
10,P250 | See Ya Later,P250,Pistol,Covert,Spectrum 2 Collection,7.9,Field-Tested,Case Drop,2017,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/default_generated/weapon_p250_cu_p250_cybercroc_light_large.396de1d53797f8875d242d1eb33d5b81dce2bb8e.png,Яркий P250 с агрессивным мультяшным изображением.
